Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
KDM13,S4(2),KDM13_S4(2),16.85
KDM13,S4(3),KDM13_S4(3),44.319
KDM13,S4(4),KDM13_S4(4),31.439
KDM13,S4(5),KDM13_S4(5),6.867
KDM13,S4(6),KDM13_S4(6),20.7
KDM13,S4(7),KDM13_S4(7),6.372
KDM13,S4(8),KDM13_S4(8),37.731
KDM13,S4(9),KDM13_S4(9),30.625
KDM13,S5,KDM13_S5,89.713
KDM13,S6,KDM13_S6,38.193
KDM13,S7,KDM13_S7,57.712
KDM13,S8,KDM13_S8,59.151
KDM14,S1,KDM14_S1,212.16
KDM14,S2(1),KDM14_S2(1),217.065
KDM14,S2(2),KDM14_S2(2),223.284
KDM14,S3,KDM14_S3,48.349
KDM15,S1(1),KDM15_S1(1),113.093
KDM15,S1(2),KDM15_S1(2),81.006
KDM15,S1(3),KDM15_S1(3),22.482
KDM15,S2,KDM15_S2,45.945
KDM15,S3(1),KDM15_S3(1),104.031
KDM15,S3(2),KDM15_S3(2),58.443
KDM15,S4,KDM15_S4,62.557
KDM15,S5,KDM15_S5,263.468
KDM15,S6(1),KDM15_S6(1),57.291
KDM15,S6(2),KDM15_S6(2),48.761
KDM15,S7(1),KDM15_S7(1),134.948
KDM15,S7(2),KDM15_S7(2),100.65
KDM17,S1(4),KDM17_S1(4),69.785
KDM18,S1,KDM18_S1,222.419
KDM18,S2,KDM18_S2,101.291
KDM19,S1(1),KDM19_S1(1),95.564
KDM19,S1(2),KDM19_S1(2),129.319
KDM19,S1(3),KDM19_S1(3),111.152
KDM19,S2,KDM19_S2,198.215
KDM20,S1(1),KDM20_S1(1),304.999
KDM20,S1(2),KDM20_S1(2),166.038
KDM20,S2,KDM20_S2,155.027
KDM24,S2,KDM24_S2,30.752
KDM29,S1(2),KDM29_S1(2),84.99
KDM31,S1,KDM31_S1,240.964
KDM31,S2,KDM31_S2,50.382
KDM32,S1,KDM32_S1,194.368
KDM32,S2(2),KDM32_S2(2),94.157
KDM35,S2(2),KDM35_S2(2),55.077
KDM16,S1(1),KDM16_S1(1),59.527
KDM16,S1(2),KDM16_S1(2),135.219
KDM16,S1(3),KDM16_S1(3),118.441
KDM16,S1(4),KDM16_S1(4),48.26
KDM16,S1(5),KDM16_S1(5),149.866
KDM16,S1(6),KDM16_S1(6),284.115
KDM16,S2,KDM16_S2,34.873
KDM16,S3(1),KDM16_S3(1),72.192
KDM16,S3(2),KDM16_S3(2),80.766
KDM17,S1(1),KDM17_S1(1),92.372
KDM17,S1(1),KDM17_S1(1),74.671
KDM17,S1(2),KDM17_S1(2),268.087
KDM17,S1(3),KDM17_S1(3),90.776
KDM17,S1(5),KDM17_S1(5),45.976
KDM17,S1(6),KDM17_S1(6),43.474
KDM17,S2,KDM17_S2,277.102
KDM17,S3,KDM17_S3,97.377
KDM17,S3(2),KDM17_S3(2),107.777
KDM17,S4,KDM17_S4,42.676
